subscriber_id,origin_city,destination_city,eclipse_time,time_zone,latitude,longitude,eclipse_upstream_data,eclipse_downstream_data,app_used,app_category,app_url,make,model,mdn_hash,points_of_interest,see_location
da5b1722-8036-402d-acf4-cc43f9e53d06,Anthonyside,Rochester,2024-04-08T13:38:00,EST,43.14909538187356,-77.6567791961237,242,368,Netflix,Video Streaming,N/A,Google,Pixel 6,80d27bd1293648ef8c2c029d4c9bc7af24094dc6c63702d0d23400eb09a1e0a6,"The Strong National Museum, Highland Park, Seneca Park Zoo, George Eastman Museum, Seabreeze Amusement Park","=HYPERLINK(""C:\Users\venka\Desktop\Solar Eclipse\maps\map_da5b1722-8036-402d-acf4-cc43f9e53d06.html"", ""See Location"")"
a54fb777-72e3-4f52-8a32-df7e6981262b,Josephchester,Dayton,2024-04-08T15:06:00,EST,39.784933485903515,-84.1482846603371,202,1321,DoorDash,Food Delivery,https://www.doordash.com/tx/dayton/d/75201,Motorola,Razr 5G,a0289ac61dea20e5c77a04ee07bde627bdea2bf9a2f09da259ce0dea7a8e2465,"National Museum of the USAF, Carillon Historical Park, Dayton Aviation Heritage Park, Boonshoft Museum, Wegerzyn Gardens","=HYPERLINK(""C:\Users\venka\Desktop\Solar Eclipse\maps\map_a54fb777-72e3-4f52-8a32-df7e6981262b.html"", ""See Location"")"
a9978ea1-bdcd-418c-b1c9-7633cd9485d2,Schmidtville,Evansville,2024-04-08T15:15:00,CST,37.94384584020277,-87.55318524148124,267,678,Instagram,Social Media,N/A,Motorola,Edge 20 Pro,f1c92cf8197525f92a44532586b994d7706a59b174e9c0f684968bbd5ead270c,"Mesker Park Zoo, Evansville Museum, Angel Mounds, Children's Museum of Evansville, Wesselman Woods Nature Preserve","=HYPERLINK(""C:\Users\venka\Desktop\Solar Eclipse\maps\map_a9978ea1-bdcd-418c-b1c9-7633cd9485d2.html"", ""See Location"")"
15d3448e-c09b-4275-be78-3bace9370d13,Ericabury,Little Rock,2024-04-08T13:42:00,CST,34.765833841860115,-92.28688522003539,130,1114,Facebook,Social Media,N/A,Nokia,Nokia 2720 Flip,0ded221fbede4d8761170f5782998eabcf3284cf3f35881d89f0fb7c1f7234df,"Little Rock Central High School, William J. Clinton Library, Pinnacle Mountain State Park, River Market District, Big Dam Bridge","=HYPERLINK(""C:\Users\venka\Desktop\Solar Eclipse\maps\map_15d3448e-c09b-4275-be78-3bace9370d13.html"", ""See Location"")"
06236961-3a79-4944-97fd-350c3ea9614f,East Shawnstad,Rochester,2024-04-08T15:18:00,EST,43.197467147816546,-77.56556432184392,192,864,Grubhub,Food Delivery,https://www.grubhub.com/tx/rochester/75201,Huawei,Nova 7i,0af46fd4c4a74b364ab5ca1ad604ab530ba47b26a0ea856540462525698179e8,"The Strong National Museum, Highland Park, Seneca Park Zoo, George Eastman Museum, Seabreeze Amusement Park","=HYPERLINK(""C:\Users\venka\Desktop\Solar Eclipse\maps\map_06236961-3a79-4944-97fd-350c3ea9614f.html"", ""See Location"")"
6300151c-bb43-4a4b-a546-fb64adcbef1a,East Ryanberg,Austin,2024-04-08T15:18:00,CST,30.23954217645785,-97.71490868128735,113,442,Twitter,Social Media,N/A,Xiaomi,Mi Pad 5,41c6a1448cffa7845880e66b75e5146bc85d70268783551ec85959a2efa6ef36,"Texas State Capitol, Zilker Park, Barton Springs Pool, Mount Bonnell, Lady Bird Lake","=HYPERLINK(""C:\Users\venka\Desktop\Solar Eclipse\maps\map_6300151c-bb43-4a4b-a546-fb64adcbef1a.html"", ""See Location"")"
5922beef-9dc1-49bd-93fa-58ea49206e33,Kleinville,Evansville,2024-04-08T15:12:00,CST,37.94339809678339,-87.59360497770032,257,783,Twitter,Social Media,N/A,Huawei,Mate 40 Pro,76947a21aaf071af8626d28803910226744685760ae2e6a722574fa0c328b708,"Mesker Park Zoo, Evansville Museum, Angel Mounds, Children's Museum of Evansville, Wesselman Woods Nature Preserve","=HYPERLINK(""C:\Users\venka\Desktop\Solar Eclipse\maps\map_5922beef-9dc1-49bd-93fa-58ea49206e33.html"", ""See Location"")"
fda049a7-35b1-4201-b822-472c3e5d3803,South Kimberlystad,Carbondale,2024-04-08T15:10:00,CST,37.707626169158225,-89.17707368297074,300,470,DoorDash,Food Delivery,https://www.doordash.com/tx/carbondale/d/75201,Sony,Xperia 1 III,e55015a25521bd6b0654be3dad6bf0309b9cc5e969f154d11cfe7294752258d2,"Giant City State Park, Southern Illinois University, Crab Orchard National Wildlife Refuge, Cedar Lake, Boo Rochman Memorial Park","=HYPERLINK(""C:\Users\venka\Desktop\Solar Eclipse\maps\map_fda049a7-35b1-4201-b822-472c3e5d3803.html"", ""See Location"")"
506ffb30-5123-43c1-8485-f3db1c3faeca,Taylorfurt,Carbondale,2024-04-08T13:50:00,CST,37.6998941639128,-89.19422281994359,86,603,Uber Eats,Food Delivery,https://www.ubereats.com/tx/carbondale-75201,Apple,iPhone 13,ca60fe2e41d4d33008602ec0913cd84190a1f4994df8a133adb45d85e30751f6,"Giant City State Park, Southern Illinois University, Crab Orchard National Wildlife Refuge, Cedar Lake, Boo Rochman Memorial Park","=HYPERLINK(""C:\Users\venka\Desktop\Solar Eclipse\maps\map_506ffb30-5123-43c1-8485-f3db1c3faeca.html"", ""See Location"")"
ed8eef51-64a9-4252-a780-e9f1655676f6,Sarahfort,Cape Girardeau,2024-04-08T13:38:00,CST,37.32099461764579,-89.49386554503097,60,1024,Spotify,Music Streaming,N/A,Huawei,P40 Lite,80128c1d9230544d173feea29e245888bfc7c7dccf99f0d6476a9874271079b9,"Mississippi River, Cape Rock Park, Trail of Tears State Park, Lazy L Safari Park, Cape Girardeau Conservation Nature Center","=HYPERLINK(""C:\Users\venka\Desktop\Solar Eclipse\maps\map_ed8eef51-64a9-4252-a780-e9f1655676f6.html"", ""See Location"")"
